"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","51","0 Allcroft Drive, Rexdale, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",2227,1660,2986
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","52","0 West Toronto Street, The Junction, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1293,928,1800
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","53","100 Thorncliffe Park Drive, Thorncliffe Park, East York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1192,861,1648
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","54","500 Mortimer Avenue, Woodbine Heights, East York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1061,776,1449
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","55","0 Strathearn Road, Midtown Toronto, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1009,698,1457
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","56","5300 Dundas Street West, Islington - City Centre West, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1185,821,1709
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","57","0 Chieftain Crescent, St. Andrew - Windfields, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1615,1165,2237
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","58","0 Habitant Drive, Emery, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1947,1457,2600
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","59","0 Cosburn Avenue, Old East York, East York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",654,475,898
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","60","0 Leagrove Crescent, Clairlea, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1505,1131,2001
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","61","200 Linden Avenue, Kennedy Park, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1779,1375,2301
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","62","0 Nairn Avenue, Earlscourt, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1083,784,1495
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","63","0 Abinger Crescent, Princess - Rosethorn, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1657,1180,2325
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","64","500 Spadina Road, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",768,515,1144
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","65","0 Sparkhall Avenue, Riverdale, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",552,392,776
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","66","600 Roselawn Avenue, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1183,845,1654
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","67","100 Donald Avenue, Silverthorn, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1533,1150,2043
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","68","100 Eddystone Avenue, Jane and Finch, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1894,1435,2498
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","69","100 Torbrick Road, East Danforth, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",823,597,1133
