city,country,ISO CountryCode,AirportName,airporturl,ICAO,IATA,latitude,longitude,moreinfourl
Dutch Rail Zone 15 -- Railway Service  Dutch Rail Zone 15 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 15 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_15_--_Railway_Service/Airport_of_Dutch_Rail_Zone_15_--_Railway_Service, ,ZVZ,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_15_--_Railway_Service/Airport_of_Dutch_Rail_Zone_15_--_Railway_Service
Dutch Rail Zone 16 -- Railway Service  Dutch Rail Zone 16 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 16 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_16_--_Railway_Service/Airport_of_Dutch_Rail_Zone_16_--_Railway_Service, ,ZUO,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_16_--_Railway_Service/Airport_of_Dutch_Rail_Zone_16_--_Railway_Service
Dutch Rail Zone 17 -- Railway Service  Dutch Rail Zone 17 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 17 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_17_--_Railway_Service/Airport_of_Dutch_Rail_Zone_17_--_Railway_Service, ,ZUP,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_17_--_Railway_Service/Airport_of_Dutch_Rail_Zone_17_--_Railway_Service
Dutch Rail Zone 18 -- Railway Service  Dutch Rail Zone 18 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 18 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_18_--_Railway_Service/Airport_of_Dutch_Rail_Zone_18_--_Railway_Service, ,ZUQ,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_18_--_Railway_Service/Airport_of_Dutch_Rail_Zone_18_--_Railway_Service
Dutch Rail Zone 19 -- Railway Service  Dutch Rail Zone 19 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 19 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_19_--_Railway_Service/Airport_of_Dutch_Rail_Zone_19_--_Railway_Service, ,ZUR,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_19_--_Railway_Service/Airport_of_Dutch_Rail_Zone_19_--_Railway_Service
Dutch Rail Zone 20 -- Railway Service  Dutch Rail Zone 20 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 20 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_20_--_Railway_Service/Airport_of_Dutch_Rail_Zone_20_--_Railway_Service, ,ZUS,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_20_--_Railway_Service/Airport_of_Dutch_Rail_Zone_20_--_Railway_Service
Dutch Rail Zone 21 -- Railway Service  Dutch Rail Zone 21 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 21 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_21_--_Railway_Service/Airport_of_Dutch_Rail_Zone_21_--_Railway_Service, ,ZUT,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_21_--_Railway_Service/Airport_of_Dutch_Rail_Zone_21_--_Railway_Service
Dutch Rail Zone 22 -- Railway Service  Dutch Rail Zone 22 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 22 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_22_--_Railway_Service/Airport_of_Dutch_Rail_Zone_22_--_Railway_Service, ,ZUU,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_22_--_Railway_Service/Airport_of_Dutch_Rail_Zone_22_--_Railway_Service
Dutch Rail Zone 23 -- Railway Service  Dutch Rail Zone 23 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 23 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_23_--_Railway_Service/Airport_of_Dutch_Rail_Zone_23_--_Railway_Service, ,ZUV,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_23_--_Railway_Service/Airport_of_Dutch_Rail_Zone_23_--_Railway_Service
Dutch Rail Zone 24 -- Railway Service  Dutch Rail Zone 24 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 24 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_24_--_Railway_Service/Airport_of_Dutch_Rail_Zone_24_--_Railway_Service, ,ZUW,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_24_--_Railway_Service/Airport_of_Dutch_Rail_Zone_24_--_Railway_Service
