name,description,styleUrl,longitude,latitude,altitude
CAMERON FALLS (AUT) ONTARIO,CAMERON FALLS (AUT) ONTARIO ,Weather StationID 27674,#icon-22,-88.333333,49.15,0
CAMPBELL RIVER A BRITISH COLUMBIA,CAMPBELL RIVER A BRITISH COLUMBIA ,Weather StationID 145,#icon-22,-125.266667,49.95,0
CAMPSIE ALBERTA,CAMPSIE ALBERTA ,Weather StationID 2490,#icon-22,-114.666667,54.116667,0
CAMROSE ALBERTA,CAMROSE ALBERTA ,Weather StationID 1839,#icon-22,-112.8,53.033333,0
CAP-CHAT QUEBEC,CAP-CHAT QUEBEC ,Weather StationID 27195,#icon-22,-66.65,49.1,0
CAP-D'ESPOIR QUEBEC,CAP-D'ESPOIR QUEBEC ,Weather StationID 9001,#icon-22,-64.316667,48.416667,0
CAP-MADELEINE QUEBEC,CAP-MADELEINE QUEBEC ,Weather StationID 8999,#icon-22,-65.316667,49.25,0
CAP-ROUGE QUEBEC,CAP-ROUGE QUEBEC ,Weather StationID 10963,#icon-22,-70.533333,48.366667,0
CAP-TOURMENTE QUEBEC,CAP-TOURMENTE QUEBEC ,Weather StationID 10869,#icon-22,-70.766667,47.066667,0
CAPE DORSET AWOS NUNAVUT,CAPE DORSET AWOS NUNAVUT ,Weather StationID 47447,#icon-22,-76.516667,64.216667,0
CAPE DORSET CLIMATE NUNAVUT,CAPE DORSET CLIMATE NUNAVUT ,Weather StationID 43163,#icon-22,-76.516667,64.216667,0
CAPE DYER NUNAVUT,CAPE DYER NUNAVUT ,Weather StationID 1739,#icon-22,-61.383333,66.65,0
CAPE HOOPER NUNAVUT,CAPE HOOPER NUNAVUT ,Weather StationID 1742,#icon-22,-66.8,68.466667,0
CAPE KAKKIVIAK NEWFOUNDLAND,CAPE KAKKIVIAK NEWFOUNDLAND ,Weather StationID 10836,#icon-22,-64.15,59.983333,0
CAPE MERCY NUNAVUT,CAPE MERCY NUNAVUT ,Weather StationID 10839,#icon-22,-63.566667,64.95,0
CAPE MUDGE BRITISH COLUMBIA,CAPE MUDGE BRITISH COLUMBIA ,Weather StationID 152,#icon-22,-125.183333,49.983333,0
CAPE PARRY A NORTHWEST TERRITORIES,CAPE PARRY A NORTHWEST TERRITORIES ,Weather StationID 1633,#icon-22,-124.716667,70.166667,0
CAPE PEEL WEST NUNAVUT,CAPE PEEL WEST NUNAVUT ,Weather StationID 10828,#icon-22,-107.816667,69.033333,0
CAPE RACE (AUT) NEWFOUNDLAND,CAPE RACE (AUT) NEWFOUNDLAND ,Weather StationID 6590,#icon-22,-53.066667,46.65,0
CAPE ST JAMES CS BRITISH COLUMBIA,CAPE ST JAMES CS BRITISH COLUMBIA ,Weather StationID 10901,#icon-22,-131,51.933333,0
CAPE WHITTLE QUEBEC,CAPE WHITTLE QUEBEC ,Weather StationID 5672,#icon-22,-60.05,50.15,0
CARBERRY CS MANITOBA,CARBERRY CS MANITOBA ,Weather StationID 27741,#icon-22,-99.35,49.9,0
CARDSTON ALBERTA,CARDSTON ALBERTA ,Weather StationID 26971,#icon-22,-113.283333,49.2,0
CARIBOU ISLAND (AUT) ONTARIO,CARIBOU ISLAND (AUT) ONTARIO ,Weather StationID 7582,#icon-22,-85.833333,47.333333,0
CARIBOU POINT (AUT) NOVA SCOTIA,CARIBOU POINT (AUT) NOVA SCOTIA ,Weather StationID 8990,#icon-22,-62.683333,45.766667,0
CARMACKS CS YUKON TERRITORY,CARMACKS CS YUKON TERRITORY ,Weather StationID 27950,#icon-22,-136.183333,62.1,0
CARMAN MANITOBA,CARMAN MANITOBA ,Weather StationID 3582,#icon-22,-98.15,49.433333,0
CARMAN U OF M CS MANITOBA,CARMAN U OF M CS MANITOBA ,Weather StationID 26857,#icon-22,-98.016667,49.483333,0
CARTWRIGHT NEWFOUNDLAND,CARTWRIGHT NEWFOUNDLAND ,Weather StationID 6773,#icon-22,-57.033333,53.7,0
CASTLEGAR A BRITISH COLUMBIA,CASTLEGAR A BRITISH COLUMBIA ,Weather StationID 1105,#icon-22,-117.616667,49.283333,0
CASTLEGAR BCHPA DAM BRITISH COLUMBIA,CASTLEGAR BCHPA DAM BRITISH COLUMBIA ,Weather StationID 1106,#icon-22,-117.766667,49.333333,0
CATHEDRAL POINT (AUT) BRITISH COLUMBIA,CATHEDRAL POINT (AUT) BRITISH COLUMBIA ,Weather StationID 8264,#icon-22,-127.466667,52.183333,0
CHAMOUCHOUANE QUEBEC,CHAMOUCHOUANE QUEBEC ,Weather StationID 26797,#icon-22,-73.35,49.266667,0
CHAMPION AGDM ALBERTA,CHAMPION AGDM ALBERTA ,Weather StationID 32254,#icon-22,-113.35,50.266667,0
CHAPAIS QUEBEC,CHAPAIS QUEBEC ,Weather StationID 27443,#icon-22,-74.966667,49.816667,0
CHAPLEAU A ONTARIO,CHAPLEAU A ONTARIO ,Weather StationID 4111,#icon-22,-83.333333,47.816667,0
CHARLEVOIX (MRC) QUEBEC,CHARLEVOIX (MRC) QUEBEC ,Weather StationID 27442,#icon-22,-70.633333,47.283333,0
CHARLO AUTO NEW BRUNSWICK,CHARLO AUTO NEW BRUNSWICK ,Weather StationID 42103,#icon-22,-66.333333,47.983333,0
CHARLOTTETOWN A PRINCE EDWARD ISLAND,CHARLOTTETOWN A PRINCE EDWARD ISLAND ,Weather StationID 6526,#icon-22,-63.116667,46.283333,0
CHESTERFIELD INLET A NUNAVUT,CHESTERFIELD INLET A NUNAVUT ,Weather StationID 1712,#icon-22,-90.716667,63.333333,0
CHETICAMP CS NOVA SCOTIA,CHETICAMP CS NOVA SCOTIA ,Weather StationID 27600,#icon-22,-60.933333,46.633333,0
CHETWYND A BRITISH COLUMBIA,CHETWYND A BRITISH COLUMBIA ,Weather StationID 1400,#icon-22,-121.616667,55.683333,0
CHEVERY QUEBEC,CHEVERY QUEBEC ,Weather StationID 8456,#icon-22,-59.633333,50.45,0
CHIBOUGAMAU CHAPAIS A QUEBEC,CHIBOUGAMAU CHAPAIS A QUEBEC ,Weather StationID 6029,#icon-22,-74.533333,49.766667,0
CHILLIWACK R HATCHERY BRITISH COLUMBIA,CHILLIWACK R HATCHERY BRITISH COLUMBIA ,Weather StationID 716,#icon-22,-121.7,49.083333,0
CHURCHILL A MANITOBA,CHURCHILL A MANITOBA ,Weather StationID 3871,#icon-22,-94.05,58.733333,0
CHURCHILL AWOS MANITOBA,CHURCHILL AWOS MANITOBA ,Weather StationID 47408,#icon-22,-94.05,58.733333,0
CHURCHILL CLIMATE MANITOBA,CHURCHILL CLIMATE MANITOBA ,Weather StationID 44244,#icon-22,-94.066667,58.733333,0
CHURCHILL FALLS NEWFOUNDLAND,CHURCHILL FALLS NEWFOUNDLAND ,Weather StationID 10887,#icon-22,-64.083333,53.55,0
CHUTE-DES-PASSES QUEBEC,CHUTE-DES-PASSES QUEBEC ,Weather StationID 5903,#icon-22,-71.166667,49.833333,0
CIGAR LAKE SASKATCHEWAN,CIGAR LAKE SASKATCHEWAN ,Weather StationID 3359,#icon-22,-104.483333,58.083333,0
CLARESHOLM ALBERTA,CLARESHOLM ALBERTA ,Weather StationID 2224,#icon-22,-113.633333,50,0
CLEARDALE AGDM ALBERTA,CLEARDALE AGDM ALBERTA ,Weather StationID 32255,#icon-22,-119.733333,56.3,0
CLINTON (AUT) BRITISH COLUMBIA,CLINTON (AUT) BRITISH COLUMBIA ,Weather StationID 1255,#icon-22,-121.5,51.133333,0
CLOVERDALE EAST BRITISH COLUMBIA,CLOVERDALE EAST BRITISH COLUMBIA ,Weather StationID 747,#icon-22,-122.716667,49.1,0
CLYDE A NUNAVUT,CLYDE A NUNAVUT ,Weather StationID 1743,#icon-22,-68.516667,70.483333,0
CLYDE AWOS NUNAVUT,CLYDE AWOS NUNAVUT ,Weather StationID 47387,#icon-22,-68.516667,70.483333,0
CLYDE RIVER CLIMATE NUNAVUT,CLYDE RIVER CLIMATE NUNAVUT ,Weather StationID 42244,#icon-22,-68.516667,70.483333,0
COBOURG (AUT) ONTARIO,COBOURG (AUT) ONTARIO ,Weather StationID 7870,#icon-22,-78.166667,43.95,0
